2019-11-18 20:34:07.445 [main] INFO  games.Choice - Выберите игру:
1 - "однорукий бандит", 2 - "пьяница", 3 - "очко"
2019-11-18 20:34:15.231 [main] INFO  games.Slot - У Вас 100$, ставка - 10$
2019-11-18 20:34:15.232 [main] INFO  games.Slot - Крутим барабаны! Розыгриш принес следующие результаты:
2019-11-18 20:34:15.235 [main] INFO  games.Slot - первый барабан - 5 второй - 5 третий - 1
2019-11-18 20:34:15.236 [main] INFO  games.Slot - Проигрыш 10$, Ваш капитал теперь составляет: 90$
2019-11-18 20:34:15.236 [main] INFO  games.Slot - У Вас 90$, ставка - 10$
2019-11-18 20:34:15.237 [main] INFO  games.Slot - Крутим барабаны! Розыгриш принес следующие результаты:
2019-11-18 20:34:15.244 [main] INFO  games.Slot - первый барабан - 6 второй - 4 третий - 5
2019-11-18 20:34:15.244 [main] INFO  games.Slot - Проигрыш 10$, Ваш капитал теперь составляет: 80$
2019-11-18 20:34:15.245 [main] INFO  games.Slot - У Вас 80$, ставка - 10$
2019-11-18 20:34:15.245 [main] INFO  games.Slot - Крутим барабаны! Розыгриш принес следующие результаты:
2019-11-18 20:34:15.245 [main] INFO  games.Slot - первый барабан - 4 второй - 5 третий - 2
2019-11-18 20:34:15.246 [main] INFO  games.Slot - Проигрыш 10$, Ваш капитал теперь составляет: 70$
2019-11-18 20:34:15.246 [main] INFO  games.Slot - У Вас 70$, ставка - 10$
2019-11-18 20:34:15.247 [main] INFO  games.Slot - Крутим барабаны! Розыгриш принес следующие результаты:
2019-11-18 20:34:15.247 [main] INFO  games.Slot - первый барабан - 2 второй - 6 третий - 0
2019-11-18 20:34:15.247 [main] INFO  games.Slot - Проигрыш 10$, Ваш капитал теперь составляет: 60$
2019-11-18 20:34:15.248 [main] INFO  games.Slot - У Вас 60$, ставка - 10$
2019-11-18 20:34:15.248 [main] INFO  games.Slot - Крутим барабаны! Розыгриш принес следующие результаты:
2019-11-18 20:34:15.249 [main] INFO  games.Slot - первый барабан - 2 второй - 3 третий - 1
2019-11-18 20:34:15.249 [main] INFO  games.Slot - Проигрыш 10$, Ваш капитал теперь составляет: 50$
2019-11-18 20:34:15.249 [main] INFO  games.Slot - У Вас 50$, ставка - 10$
2019-11-18 20:34:15.250 [main] INFO  games.Slot - Крутим барабаны! Розыгриш принес следующие результаты:
2019-11-18 20:34:15.250 [main] INFO  games.Slot - первый барабан - 5 второй - 1 третий - 2
2019-11-18 20:34:15.251 [main] INFO  games.Slot - Проигрыш 10$, Ваш капитал теперь составляет: 40$
2019-11-18 20:34:15.251 [main] INFO  games.Slot - У Вас 40$, ставка - 10$
2019-11-18 20:34:15.251 [main] INFO  games.Slot - Крутим барабаны! Розыгриш принес следующие результаты:
2019-11-18 20:34:15.252 [main] INFO  games.Slot - первый барабан - 4 второй - 4 третий - 0
2019-11-18 20:34:15.252 [main] INFO  games.Slot - Проигрыш 10$, Ваш капитал теперь составляет: 30$
2019-11-18 20:34:15.252 [main] INFO  games.Slot - У Вас 30$, ставка - 10$
2019-11-18 20:34:15.252 [main] INFO  games.Slot - Крутим барабаны! Розыгриш принес следующие результаты:
2019-11-18 20:34:15.253 [main] INFO  games.Slot - первый барабан - 5 второй - 5 третий - 4
2019-11-18 20:34:15.253 [main] INFO  games.Slot - Проигрыш 10$, Ваш капитал теперь составляет: 20$
2019-11-18 20:34:15.254 [main] INFO  games.Slot - У Вас 20$, ставка - 10$
2019-11-18 20:34:15.254 [main] INFO  games.Slot - Крутим барабаны! Розыгриш принес следующие результаты:
2019-11-18 20:34:15.254 [main] INFO  games.Slot - первый барабан - 1 второй - 5 третий - 2
2019-11-18 20:34:15.255 [main] INFO  games.Slot - Проигрыш 10$, Ваш капитал теперь составляет: 10$
2019-11-18 20:34:15.256 [main] INFO  games.Slot - У Вас 10$, ставка - 10$
2019-11-18 20:34:15.256 [main] INFO  games.Slot - Крутим барабаны! Розыгриш принес следующие результаты:
2019-11-18 20:34:15.256 [main] INFO  games.Slot - первый барабан - 4 второй - 1 третий - 5
2019-11-18 20:34:15.257 [main] INFO  games.Slot - Проигрыш 10$, Ваш капитал теперь составляет: 0$
